ref,station_distance,pub_date,studio,n_rooms,area,floor,mcc,circle,center_distance,y
/moskva/kvartiry/2-k_kvartira_110_m_5175_et._1966335670,3,2020-08-14,0,2,110,51,0,0,4.96170717996517,3.3636363636363638
/moskva/kvartiry/2-k_kvartira_110_m_59_et._1082617968,6,2020-08-02,0,2,110,5,0,0,6.1962879695970425,1.0454545454545454
/moskva/kvartiry/2-k_kvartira_110_m_88_et._1799907326,10,2020-08-10,0,2,110,8,1,0,6.2206611786157175,3.0
/moskva/kvartiry/2-k_kvartira_117_m_1617_et._1888499819,9,2020-08-11,0,2,117,16,1,0,10.893106224042754,1.0256410256410255
/moskva/kvartiry/2-k_kvartira_11_m_25_et._1971576151,6,2020-08-12,0,2,11,2,0,0,8.710491973192113,1.2727272727272727
/moskva/kvartiry/2-k_kvartira_120_m_1324_et._1958697276,7,2020-08-12,0,2,120,13,0,0,10.477097307352325,0.5416666666666666
/moskva/kvartiry/2-k_kvartira_120_m_4775_et._1799798580,3,2020-08-10,0,2,120,47,0,0,4.96170717996517,3.3333333333333335
/moskva/kvartiry/2-k_kvartira_120_m_47_et._1954686378,6,2020-08-12,0,2,120,4,0,0,1.450401635817082,2.0
/moskva/kvartiry/2-k_kvartira_120_m_58_et._1912311001,7,2020-08-01,0,2,120,5,0,0,2.3455564591601026,1.0
/moskva/kvartiry/2-k_kvartira_123_m_5175_et._1966251183,3,2020-08-14,0,2,123,51,0,0,4.96170717996517,3.658536585365854
/moskva/kvartiry/2-k_kvartira_125_m_2457_et._1964534441,8,2020-08-06,0,2,125,24,1,0,9.817814863464967,0.96
/moskva/kvartiry/2-k_kvartira_126_m_1518_et._1758074876,6,2020-08-07,0,2,126,15,0,0,13.890305901113779,1.0317460317460319
/moskva/kvartiry/2-k_kvartira_130_m_26_et._1888283357,4,2020-08-11,0,2,130,2,0,0,2.350441672322792,1.9230769230769231
/moskva/kvartiry/2-k_kvartira_142_m_1016_et._1937171150,2,2020-08-14,0,2,142,10,0,0,2.350441672322792,1.267605633802817
/moskva/kvartiry/2-k_kvartira_144_m_1021_et._1963078239,10,2020-08-10,0,2,144,10,0,0,10.34751529893556,0.6944444444444444
/moskva/kvartiry/2-k_kvartira_146.7_m_317_et._1960414149,10,2020-08-06,0,2,147,3,0,0,8.197599186388118,0.8163265306122449
/moskva/kvartiry/2-k_kvartira_160_m_412_et._1703559820,3,2020-08-03,0,2,160,4,0,0,1.3614631601750649,1.75
/moskva/kvartiry/2-k_kvartira_160_m_413_et._1971981191,5,2020-08-04,0,2,160,4,0,0,2.04826394173432,1.75
/moskva/kvartiry/2-k_kvartira_160_m_413_et._1979948234,5,2020-08-07,0,2,160,4,0,0,2.04826394173432,1.75
/moskva/kvartiry/2-k_kvartira_30.9_m_29_et._1915785457,7,2020-08-05,0,2,31,2,0,0,12.86651739103494,1.1290322580645162
/moskva/kvartiry/2-k_kvartira_30_m_1719_et._1969328923,12,2020-08-03,0,2,30,17,0,0,12.844090430537948,1.1663333333333334
/moskva/kvartiry/2-k_kvartira_31.6_m_89_et._1958093656,7,2020-08-13,0,2,32,8,0,0,6.990554482151013,2.003125
/moskva/kvartiry/2-k_kvartira_31.7_m_55_et._1958615062,4,2020-08-02,0,2,32,5,0,0,4.118448547997712,0.94375
/moskva/kvartiry/2-k_kvartira_32_m_1515_et._1976792106,6,2020-08-08,0,2,32,15,0,0,7.387032237319362,1.65625
/moskva/kvartiry/2-k_kvartira_32_m_15_et._1963837001,6,2020-08-06,0,2,32,1,1,0,9.612267682438688,1.09375
